"status";"general_jedi_encarregado";"estatura_cm";"massa_em_kilos"
"Apto";"Aayla Secura";180,72;83,07
"Defeituoso";"Shaak Ti";180,43;83,23
"Apto";"Aayla Secura";180,71;84,32
"Defeituoso";"Shaak Ti";180,3;83,36
"Defeituoso";"Shaak Ti";180,34;83,14
"Apto";"Obi-Wan Kenobi";180,35;83,7
"Apto";"Shaak Ti";181,05;83,59
"Apto";"Mace Windu";180,04;83,41
"Apto";"Mace Windu";180,55;83,99
"Apto";"Obi-Wan Kenobi";180,69;83,05
"Apto";"Shaak Ti";180,52;83,42
"Apto";"Mace Windu";180,61;84,2
"Apto";"Shaak Ti";180,34;84,16
"Apto";"Obi-Wan Kenobi";181,08;83,88
"Apto";"Mace Windu";181,08;83,7
"Apto";"Obi-Wan Kenobi";180,35;83,97
"Apto";"Yoda";180,78;83,8
"Defeituoso";"Shaak Ti";180,53;83,01
"Apto";"Mace Windu";180,99;84,2
"Apto";"Mace Windu";181,1;83,55
"Apto";"Mace Windu";180,4;84,21
"Apto";"Shaak Ti";180,77;83,8
"Apto";"Yoda";180,41;84,16
"Apto";"Shaak Ti";181,11;83,72
"Apto";"Shaak Ti";180,01;83,54
"Apto";"Yoda";181,08;83,49
"Defeituoso";"Shaak Ti";180,31;83,08
"Apto";"Shaak Ti";180,52;84,5
"Apto";"Obi-Wan Kenobi";180,22;83,84
"Apto";"Shaak Ti";180,14;84,06
"Apto";"Shaak Ti";180,1;83,17
"Apto";"Shaak Ti";180,29;84,19
"Apto";"Yoda";180,29;83,76
"Apto";"Shaak Ti";180,1;83,1
"Apto";"Aayla Secura";180,93;84,32
"Apto";"Mace Windu";180,26;84,5
"Apto";"Yoda";180,9;83,43
"Apto";"Yoda";180,09;83,29
"Apto";"Aayla Secura";180,77;84,08
"Apto";"Yoda";181,08;83,11
"Apto";"Obi-Wan Kenobi";180,68;83,5
"Apto";"Yoda";180,25;83,63
"Apto";"Shaak Ti";181,15;83,59
"Apto";"Shaak Ti";180,95;83,12
"Apto";"Yoda";180,67;83,43
"Apto";"Yoda";181,1;83,63
"Apto";"Shaak Ti";180,14;83,1
"Apto";"Aayla Secura";181,13;83,49
"Apto";"Mace Windu";180,33;84,05
"Apto";"Mace Windu";180,62;83,58
"Apto";"Yoda";180,6;83,71
"Apto";"Obi-Wan Kenobi";180,42;84,26
"Apto";"Aayla Secura";181,04;83,25
"Apto";"Aayla Secura";180,13;83,7
"Apto";"Obi-Wan Kenobi";180,2;83,72
"Apto";"Mace Windu";180,44;83,82
"Apto";"Mace Windu";180,72;83,09
"Defeituoso";"Yoda";180,26;83,26
"Apto";"Obi-Wan Kenobi";180,82;84,42
"Apto";"Aayla Secura";181,14;84,19
"Apto";"Aayla Secura";180,35;83,95
"Apto";"Yoda";180,95;84,18
"Defeituoso";"Yoda";180,38;83,17
"Apto";"Shaak Ti";181,12;83,57
"Apto";"Aayla Secura";180,96;84,06
"Apto";"Mace Windu";180,79;83,29
"Apto";"Shaak Ti";180,14;83,42
"Apto";"Shaak Ti";180,17;83,93
"Apto";"Aayla Secura";180,87;83,5
"Apto";"Shaak Ti";180,53;84,36
"Apto";"Obi-Wan Kenobi";180,82;84,27
"Apto";"Aayla Secura";181,11;83,35
"Apto";"Yoda";180,75;83,18
"Apto";"Aayla Secura";180,51;83,92
"Apto";"Mace Windu";181,02;83,99
"Apto";"Obi-Wan Kenobi";180,1;83,56
"Defeituoso";"Yoda";180,32;83
"Apto";"Yoda";180,47;84,07
"Apto";"Yoda";180,34;83,83
"Apto";"Mace Windu";180,84;83,65
"Apto";"Aayla Secura";181,06;83,97
"Apto";"Yoda";181,16;83,43
"Apto";"Yoda";181,12;83,13
"Apto";"Aayla Secura";180,56;83,26
"Apto";"Aayla Secura";181;83,66
"Apto";"Yoda";180,09;83,23
"Apto";"Obi-Wan Kenobi";180,43;83,12
"Apto";"Mace Windu";180,79;83,36
"Defeituoso";"Yoda";180,5;83,38
"Apto";"Shaak Ti";181,09;83,39
"Apto";"Aayla Secura";180,32;83,29
"Defeituoso";"Shaak Ti";180,45;83,24
"Apto";"Shaak Ti";180,71;84,04
"Apto";"Mace Windu";180,72;83,59
"Defeituoso";"Yoda";180,29;83,34
"Apto";"Obi-Wan Kenobi";180,49;83,67
"Apto";"Yoda";181,17;83,64
"Defeituoso";"Yoda";180,33;83,37
"Apto";"Yoda";180,75;83,08
"Defeituoso";"Shaak Ti";180,54;83,14
"Apto";"Yoda";180,63;83,89
"Apto";"Aayla Secura";180,96;84,04
"Apto";"Obi-Wan Kenobi";180,57;84,48
"Apto";"Obi-Wan Kenobi";180,58;84,33
"Apto";"Obi-Wan Kenobi";180,82;83,97
"Apto";"Obi-Wan Kenobi";180,74;84,48
"Apto";"Shaak Ti";180,76;83,82
"Apto";"Aayla Secura";180,72;84,21
"Apto";"Aayla Secura";180,53;83,39
"Apto";"Mace Windu";181,02;83,32
"Apto";"Aayla Secura";180,18;83,9
"Apto";"Shaak Ti";180,08;84,25
"Apto";"Obi-Wan Kenobi";180,17;84,47
"Apto";"Aayla Secura";180,53;83,51
"Apto";"Yoda";180,76;83,41
"Apto";"Shaak Ti";180,46;83,84
"Apto";"Obi-Wan Kenobi";180,8;84,27
"Apto";"Yoda";180,72;84,45
"Apto";"Mace Windu";180,11;84,23
"Apto";"Aayla Secura";180,25;83,93
"Apto";"Shaak Ti";181,18;83,87
"Apto";"Aayla Secura";181,11;83,92
"Apto";"Shaak Ti";181,08;83,3
"Apto";"Aayla Secura";180,81;84,34
"Apto";"Mace Windu";180,97;84,14
"Apto";"Aayla Secura";180,35;84,45
"Apto";"Shaak Ti";180,2;83,87
"Apto";"Shaak Ti";180,34;83,48
"Defeituoso";"Shaak Ti";180,27;83,17
"Apto";"Mace Windu";180,63;84,4
"Apto";"Aayla Secura";181,02;83,1
"Apto";"Mace Windu";181,12;83,32
"Apto";"Mace Windu";180,25;83,28
"Apto";"Yoda";180,43;84,24
"Apto";"Obi-Wan Kenobi";180,07;83,27
"Apto";"Aayla Secura";180,47;84,46
"Apto";"Yoda";181,08;83,62
"Apto";"Shaak Ti";181,06;83,33
"Apto";"Aayla Secura";180,56;83,8
"Apto";"Shaak Ti";181,02;83,88
"Apto";"Shaak Ti";180,03;84,47
"Defeituoso";"Shaak Ti";180,43;83,1
"Apto";"Shaak Ti";180,56;84,48
"Defeituoso";"Shaak Ti";180,3;83,12
"Apto";"Aayla Secura";180,56;84,06
"Apto";"Mace Windu";180,87;83,32
"Apto";"Mace Windu";181,2;84,06
"Apto";"Aayla Secura";180,13;83,28
"Apto";"Yoda";180,79;84,02
"Apto";"Aayla Secura";180,11;83,29
"Apto";"Obi-Wan Kenobi";180,92;84,23
"Apto";"Shaak Ti";180,65;84,23
"Apto";"Aayla Secura";180,94;83,08
"Apto";"Yoda";180,54;83,6
"Apto";"Obi-Wan Kenobi";181,11;83,61
"Apto";"Shaak Ti";180,74;83,11
"Apto";"Shaak Ti";180,13;83,65
"Apto";"Yoda";180,48;83,58
"Apto";"Shaak Ti";181,06;83,26
"Apto";"Mace Windu";181,14;83,24
"Apto";"Aayla Secura";180,58;83,16
"Apto";"Yoda";180,69;83,21
"Apto";"Shaak Ti";180,58;84,08
"Apto";"Obi-Wan Kenobi";181,16;84,19
"Apto";"Shaak Ti";180,61;83,91
"Apto";"Aayla Secura";180,36;83,72
"Apto";"Aayla Secura";180,57;83,61
"Apto";"Aayla Secura";181,16;83,43
"Apto";"Yoda";180,05;83,66
"Apto";"Mace Windu";180,19;83,89
"Apto";"Mace Windu";181,01;83,1
"Apto";"Shaak Ti";180,21;83,43
"Apto";"Obi-Wan Kenobi";181,06;83,38
"Apto";"Yoda";180,33;83,51
"Apto";"Aayla Secura";180,75;84,14
"Apto";"Obi-Wan Kenobi";180,41;83,46
"Defeituoso";"Shaak Ti";180,41;83,28
"Apto";"Obi-Wan Kenobi";181,05;83,66
"Apto";"Aayla Secura";180,65;84,39
"Apto";"Shaak Ti";180,33;84,18
"Apto";"Mace Windu";180,85;84,33
"Defeituoso";"Yoda";180,45;83,11
"Apto";"Yoda";180,68;84,06
"Apto";"Aayla Secura";181,06;83,66
"Apto";"Obi-Wan Kenobi";180,96;84,45
"Apto";"Aayla Secura";180,81;83,81
"Apto";"Obi-Wan Kenobi";180,11;84,23
"Apto";"Obi-Wan Kenobi";180,58;83,39
"Defeituoso";"Yoda";180,53;83,27
"Apto";"Aayla Secura";181,02;83,17
"Apto";"Yoda";180,77;83,67
"Apto";"Mace Windu";180,98;84,38
"Apto";"Yoda";180,08;83,47
"Apto";"Aayla Secura";180,37;83,98
"Apto";"Yoda";180,22;83,77
"Apto";"Aayla Secura";180,12;84,01
"Apto";"Yoda";180,77;84,06
"Apto";"Obi-Wan Kenobi";180,16;84,26
"Apto";"Yoda";180,74;83,58
"Apto";"Yoda";180,35;83,45
"Apto";"Shaak Ti";180,79;84,47
"Apto";"Shaak Ti";181,08;83
"Apto";"Aayla Secura";180,49;83,44
"Apto";"Mace Windu";180,39;83,65
"Defeituoso";"Yoda";180,27;83,25
"Defeituoso";"Yoda";180,47;83,24
"Apto";"Yoda";180,05;84,23
"Apto";"Obi-Wan Kenobi";180,8;84,46
"Defeituoso";"Yoda";180,43;83,29
"Apto";"Yoda";180,19;83,15
"Apto";"Obi-Wan Kenobi";181,1;83,77
"Apto";"Obi-Wan Kenobi";181,16;83,31
"Apto";"Aayla Secura";180,43;83,5
"Defeituoso";"Shaak Ti";180,34;83,04
"Apto";"Yoda";180,02;83,36
"Apto";"Mace Windu";180,82;83,1
"Apto";"Obi-Wan Kenobi";180,21;84,45
"Apto";"Aayla Secura";181,04;83,22
"Apto";"Mace Windu";180,6;83,45
"Apto";"Mace Windu";180,83;84,48
"Apto";"Yoda";180,45;83,94
"Apto";"Obi-Wan Kenobi";180,45;84,22
"Apto";"Yoda";180,64;83,45
"Apto";"Obi-Wan Kenobi";181,16;83,26
"Apto";"Obi-Wan Kenobi";180,73;83,66
"Apto";"Shaak Ti";180,72;83,86
"Apto";"Aayla Secura";180,38;83,37
"Apto";"Mace Windu";181,01;83,69
"Apto";"Obi-Wan Kenobi";181,11;84,3
"Apto";"Aayla Secura";181,04;83,87
"Apto";"Obi-Wan Kenobi";180,81;84,47
"Apto";"Yoda";180,91;83,67
"Apto";"Mace Windu";180,42;83,99
"Apto";"Mace Windu";180,9;83,52
"Apto";"Mace Windu";180,81;83,91
"Apto";"Mace Windu";180,63;84,07
"Apto";"Yoda";181,03;83,96
"Apto";"Shaak Ti";180,74;83,04
"Apto";"Obi-Wan Kenobi";180,43;83,22
"Apto";"Obi-Wan Kenobi";180,72;84,09
"Apto";"Aayla Secura";180,56;83,44
"Apto";"Obi-Wan Kenobi";180,98;83,84
"Apto";"Shaak Ti";181,11;84,33
"Apto";"Shaak Ti";180,18;83,05
"Apto";"Yoda";180,58;83,75
"Apto";"Yoda";180,65;83,19
"Apto";"Mace Windu";180,47;83,83
"Apto";"Mace Windu";180,22;83,78
"Apto";"Obi-Wan Kenobi";180;83,49
"Apto";"Obi-Wan Kenobi";180,07;83,67
"Defeituoso";"Yoda";180,32;83,26
"Apto";"Mace Windu";180,22;83,78
"Apto";"Yoda";181,18;83,16
"Apto";"Mace Windu";180,31;83,35
"Apto";"Shaak Ti";180,84;83,45
"Apto";"Yoda";180,08;83,03
"Apto";"Yoda";180,45;84,05
"Apto";"Shaak Ti";180,85;83,64
"Apto";"Aayla Secura";180,46;84,1
"Apto";"Shaak Ti";180,06;83,91
"Apto";"Yoda";181,13;84,18
"Defeituoso";"Shaak Ti";180,5;83,23
"Apto";"Shaak Ti";181,07;83,29
"Apto";"Obi-Wan Kenobi";181,08;83,92
"Apto";"Yoda";180,92;83,25
"Apto";"Mace Windu";180,89;84,19
"Apto";"Mace Windu";180,6;83,89
"Apto";"Yoda";180,04;84,27
"Apto";"Aayla Secura";180,13;83,72
"Apto";"Yoda";180,39;83,84
"Apto";"Mace Windu";180,3;84,45
"Apto";"Shaak Ti";181,12;83,93
"Apto";"Obi-Wan Kenobi";181,19;83,57
"Apto";"Obi-Wan Kenobi";180,09;84,1
"Apto";"Yoda";180,22;83,36
"Apto";"Shaak Ti";180,7;84
"Apto";"Obi-Wan Kenobi";181,02;83,26
"Apto";"Yoda";180,64;83,9
"Apto";"Shaak Ti";180,76;83,47
"Defeituoso";"Yoda";180,46;83,25
"Apto";"Aayla Secura";180,48;84,5
"Apto";"Aayla Secura";180,7;83,91
"Apto";"Yoda";181,19;83,14
"Apto";"Obi-Wan Kenobi";181,1;84,09
"Apto";"Mace Windu";180,08;84,08
"Apto";"Yoda";180,78;83,01
"Apto";"Shaak Ti";180,37;84,27
"Apto";"Obi-Wan Kenobi";180,03;83,26
"Apto";"Shaak Ti";180,35;84,23
"Apto";"Aayla Secura";180,22;84,41
"Apto";"Aayla Secura";180,64;83,15
"Apto";"Aayla Secura";180,13;84,16
"Apto";"Aayla Secura";180,73;83,39
"Apto";"Aayla Secura";180,22;83,79
"Apto";"Shaak Ti";180,26;83,89
"Defeituoso";"Yoda";180,51;83,34
"Apto";"Obi-Wan Kenobi";180,02;83,83
"Apto";"Mace Windu";180,06;83,41
"Apto";"Aayla Secura";180,01;83,1
"Apto";"Shaak Ti";180,48;83,78
"Apto";"Obi-Wan Kenobi";180,49;83,16
"Apto";"Obi-Wan Kenobi";181,12;84,24
"Apto";"Obi-Wan Kenobi";180,16;84,33
"Apto";"Aayla Secura";180,92;83,62
"Apto";"Mace Windu";180,25;83,26
"Apto";"Yoda";181,16;83,69
"Apto";"Mace Windu";180,13;84,05
"Apto";"Mace Windu";180,44;83,09
"Apto";"Aayla Secura";180,43;83,1
"Apto";"Yoda";180,12;83,01
"Apto";"Aayla Secura";180,6;84,47
"Apto";"Yoda";180,61;83,39
"Apto";"Obi-Wan Kenobi";181,11;84,11
"Apto";"Mace Windu";180,38;83,21
"Defeituoso";"Shaak Ti";180,55;83,15
"Apto";"Obi-Wan Kenobi";180,02;83,88
"Apto";"Yoda";180,11;83,21
"Apto";"Aayla Secura";180,22;84,37
"Apto";"Mace Windu";180,28;84,26
"Apto";"Yoda";181,12;84,36
"Apto";"Obi-Wan Kenobi";180,92;83,57
"Apto";"Mace Windu";181,15;83,61
"Apto";"Yoda";180,92;84,1
"Apto";"Shaak Ti";180,86;84,32
"Apto";"Aayla Secura";181,17;84,32
"Apto";"Mace Windu";181,07;83,58
"Apto";"Obi-Wan Kenobi";180,8;84,2
"Defeituoso";"Shaak Ti";180,34;83,05
"Apto";"Aayla Secura";180,5;83,85
"Apto";"Aayla Secura";180,18;83,65
"Apto";"Aayla Secura";180,45;83,71
"Defeituoso";"Shaak Ti";180,42;83,07
"Apto";"Aayla Secura";180,24;83,94
"Apto";"Aayla Secura";181,12;83,05
"Apto";"Yoda";180,43;83,52
"Defeituoso";"Yoda";180,43;83,31
"Apto";"Yoda";180,55;83,41
"Apto";"Yoda";180,59;84,41
"Apto";"Yoda";180,33;84,21
"Defeituoso";"Shaak Ti";180,33;83,07
"Apto";"Mace Windu";180,16;83,78
"Apto";"Mace Windu";180,39;84,32
"Defeituoso";"Shaak Ti";180,33;83,14
"Apto";"Mace Windu";180,19;83,95
"Apto";"Obi-Wan Kenobi";180,59;84,46
"Apto";"Shaak Ti";180,17;83,69
"Apto";"Shaak Ti";180,04;83,33
"Apto";"Yoda";181,12;83,9
"Apto";"Yoda";180,06;83,47
"Defeituoso";"Yoda";180,46;83,35
"Apto";"Mace Windu";180,31;83,63
"Apto";"Shaak Ti";180,3;84,43
"Apto";"Mace Windu";180,24;83,3
"Apto";"Yoda";180,21;84,43
"Apto";"Obi-Wan Kenobi";180,96;84,05
"Defeituoso";"Yoda";180,5;83,33
"Apto";"Shaak Ti";180,54;83,97
"Apto";"Obi-Wan Kenobi";180,87;84,28
"Apto";"Mace Windu";180,61;83,09
"Apto";"Mace Windu";180,48;84,37
"Defeituoso";"Yoda";180,4;83,37
"Defeituoso";"Shaak Ti";180,36;83,33
"Apto";"Mace Windu";180,59;84,12
"Apto";"Obi-Wan Kenobi";180,12;83,31
"Apto";"Shaak Ti";180,5;84,43
"Apto";"Shaak Ti";180,68;84,27
"Apto";"Shaak Ti";180,23;83,55
"Apto";"Shaak Ti";180,23;84,06
"Apto";"Aayla Secura";180,16;84,14
"Apto";"Yoda";181,17;83,32
"Apto";"Obi-Wan Kenobi";180,03;83,9
"Apto";"Aayla Secura";181,06;83,58
"Apto";"Obi-Wan Kenobi";181,13;83,24
"Apto";"Shaak Ti";180,04;84,25
"Apto";"Shaak Ti";181,19;84,15
"Apto";"Mace Windu";180,43;84,23
"Apto";"Obi-Wan Kenobi";180,18;83,79
"Apto";"Mace Windu";181,02;83,13
"Apto";"Shaak Ti";180,31;84,4
"Apto";"Aayla Secura";180,59;83,53
"Apto";"Mace Windu";181,17;84,14
"Defeituoso";"Yoda";180,35;83,34
"Apto";"Shaak Ti";180,56;83,84
"Apto";"Shaak Ti";180,05;83,49
"Defeituoso";"Yoda";180,31;83,09
"Apto";"Aayla Secura";180,19;84,27
"Defeituoso";"Yoda";180,27;83,02
"Apto";"Shaak Ti";180,62;83,09
"Apto";"Mace Windu";180,14;83,42
"Apto";"Shaak Ti";180,25;83,46
"Apto";"Obi-Wan Kenobi";181,1;83,11
"Apto";"Yoda";180,02;83,98
"Apto";"Obi-Wan Kenobi";180,01;84,13
"Apto";"Shaak Ti";180,02;84,08
"Apto";"Yoda";180,36;83,66
"Apto";"Shaak Ti";181,03;84,34
"Apto";"Yoda";180,9;83,36
"Apto";"Aayla Secura";180,75;83,33
"Apto";"Obi-Wan Kenobi";180,68;83,63
"Apto";"Shaak Ti";181,15;84,26
"Apto";"Shaak Ti";180,49;83,72
"Apto";"Yoda";180,32;83,85
"Apto";"Shaak Ti";180,2;84,16
"Apto";"Mace Windu";180,37;84,36
"Apto";"Shaak Ti";180,96;83,47
"Apto";"Aayla Secura";180,02;83,36
"Apto";"Aayla Secura";181,04;83,03
"Apto";"Shaak Ti";180,87;83,05
"Apto";"Aayla Secura";181,15;84,38
"Apto";"Obi-Wan Kenobi";180,12;83,56
"Apto";"Shaak Ti";180,07;83
"Apto";"Shaak Ti";180,19;84,03
"Apto";"Obi-Wan Kenobi";181,18;83,53
"Defeituoso";"Shaak Ti";180,38;83,08
"Apto";"Aayla Secura";181,14;84,13
"Apto";"Yoda";180,7;83,95
"Apto";"Shaak Ti";180,67;83,89
"Apto";"Mace Windu";180,4;84,28
"Apto";"Yoda";180,37;84,47
"Apto";"Aayla Secura";181,17;83,57
"Apto";"Obi-Wan Kenobi";180,87;83,87
"Apto";"Obi-Wan Kenobi";181,05;83,05
"Apto";"Mace Windu";180,19;83,02
"Apto";"Yoda";180,87;83,49
"Apto";"Yoda";180,82;84,1
"Apto";"Shaak Ti";180,12;84,43
"Defeituoso";"Yoda";180,44;83,35
"Apto";"Yoda";180,58;83,67
"Apto";"Obi-Wan Kenobi";180,76;83,92
"Defeituoso";"Shaak Ti";180,25;83,16
"Defeituoso";"Shaak Ti";180,43;83,17
"Apto";"Shaak Ti";180,17;84,05
"Apto";"Yoda";180,45;83,65
"Apto";"Mace Windu";181,14;83,4
"Apto";"Obi-Wan Kenobi";180,91;83,94
"Apto";"Obi-Wan Kenobi";180,83;83,96
"Apto";"Shaak Ti";180,22;83,51
"Apto";"Aayla Secura";180,34;83,44
"Apto";"Obi-Wan Kenobi";180,62;84,48
"Apto";"Yoda";180,24;83,42
"Apto";"Yoda";180,8;83,92
"Apto";"Aayla Secura";181,03;83,08
"Apto";"Aayla Secura";180,5;84,27
"Defeituoso";"Shaak Ti";180,3;83,24
"Apto";"Mace Windu";180,67;83,81
"Apto";"Yoda";180,47;83,67
"Apto";"Yoda";180,21;83,1
"Apto";"Aayla Secura";180,08;83,38
"Defeituoso";"Shaak Ti";180,49;83,13
"Apto";"Mace Windu";180,92;83,76
"Apto";"Shaak Ti";180,02;83,48
"Apto";"Shaak Ti";180,77;84,16
"Apto";"Obi-Wan Kenobi";180,66;84,31
"Apto";"Aayla Secura";180,47;83,26
"Apto";"Obi-Wan Kenobi";180,99;84,19
"Apto";"Yoda";180,44;83,41
"Defeituoso";"Shaak Ti";180,38;83,03
"Apto";"Yoda";180,1;83,08
"Apto";"Aayla Secura";180,47;84,41
"Apto";"Aayla Secura";180,93;84,01
"Defeituoso";"Shaak Ti";180,51;83,18
"Apto";"Shaak Ti";180,66;84,08
"Apto";"Mace Windu";180,62;84,13
"Apto";"Mace Windu";180,73;83,13
"Apto";"Yoda";181,04;83,34
"Apto";"Yoda";180,66;84,18
"Apto";"Mace Windu";180,71;83,73
"Apto";"Obi-Wan Kenobi";180,74;83,4
"Defeituoso";"Yoda";180,3;83,19
"Apto";"Shaak Ti";180,01;83,08
"Apto";"Mace Windu";180,64;83,74
"Apto";"Aayla Secura";180,16;84,36
"Apto";"Yoda";180,37;83,61
"Defeituoso";"Shaak Ti";180,45;83,39
"Apto";"Yoda";180,85;84,26
"Apto";"Shaak Ti";180,85;84,21
"Apto";"Mace Windu";180,01;83,32
"Apto";"Shaak Ti";180,55;83,75
"Apto";"Shaak Ti";180,76;84,25
"Apto";"Aayla Secura";180,84;84,36
"Defeituoso";"Shaak Ti";180,49;83,08
"Apto";"Aayla Secura";180,11;83,34
"Apto";"Mace Windu";180,09;83,31
"Apto";"Yoda";180,79;83,47
"Apto";"Aayla Secura";180,43;84
"Apto";"Obi-Wan Kenobi";181,19;83,32
"Apto";"Aayla Secura";180,4;84,21
"Apto";"Aayla Secura";181,15;84,03
"Apto";"Yoda";181,17;83,76
"Apto";"Obi-Wan Kenobi";180,47;84,16
"Apto";"Shaak Ti";180,69;83,07
"Apto";"Mace Windu";181,12;84,26
"Apto";"Yoda";180,04;83,29
"Apto";"Yoda";180,79;83,47
"Apto";"Aayla Secura";180,18;83,25
"Apto";"Mace Windu";180,64;83,97
"Apto";"Aayla Secura";180,23;83,34
"Apto";"Aayla Secura";181,13;83,84
"Apto";"Mace Windu";180,05;83,18
"Defeituoso";"Shaak Ti";180,48;83,2
"Apto";"Yoda";180,76;83,72
"Apto";"Obi-Wan Kenobi";180,96;83,35
"Defeituoso";"Shaak Ti";180,28;83,3
"Apto";"Shaak Ti";180,18;83,53
"Apto";"Mace Windu";180,06;84,44
"Apto";"Shaak Ti";180,44;84,25
"Apto";"Aayla Secura";180,16;83,54
"Apto";"Yoda";180,75;83,97
"Apto";"Aayla Secura";180,25;83,24
"Defeituoso";"Shaak Ti";180,42;83,38
"Apto";"Mace Windu";180,4;83,83
"Apto";"Shaak Ti";180,91;83,28
"Apto";"Mace Windu";180,42;83,07
"Apto";"Yoda";181,09;83,32
"Defeituoso";"Shaak Ti";180,45;83,27
"Defeituoso";"Yoda";180,38;83,33
"Apto";"Shaak Ti";180,7;83,63
"Defeituoso";"Yoda";180,38;83,14
"Apto";"Yoda";180,46;84,28
"Apto";"Shaak Ti";181,03;83,03
"Apto";"Shaak Ti";180,01;83,56
"Apto";"Aayla Secura";180,01;84,03
"Defeituoso";"Shaak Ti";180,33;83,04
