administracao,categoria_despesa,cd_anoexecucao,cd_despesa,cd_elemento,cd_exercicio,cd_fonte,cd_funcao,cd_modalidade,cd_orgao,cd_programa,cd_subfuncao,cd_unidade,codigo,dataextracao,datafinal,datainicial,ds_categoria,ds_despesa,ds_fonte,ds_funcao,ds_grupo,ds_modalidade,ds_orgao,ds_programa,ds_projeto_atividade,ds_subfuncao,ds_unidade,estado,grupo_despesa,latitude,longitude,pa,papa,projetoatividade,sigla_orgao,sld_orcado_ano,vl_atualizado,vl_congeladoliquido,vl_empenhadoliquido,vl_liquidado,vl_pago,vl_reservadoliquido
Indireta,4,2017,44903900,39,2017,0,10,90,1,3003,302,10,2017.1.10.10.302.3003.44903900.90.39.0.1239,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas de Capital,Outros Serviços de Terceiros - Pessoa Jurídica                                                                                                                                                                                                                ,Tesouro Municipal,Saúde,INVESTIMENTOS,Aplicações Diretas,Autarquia Hospitalar Municipal,Ações e serviços da saúde,Reforma do Telhado do Hospital Municipal e Maternidade Professor Mario Degni                                                                                                                                                                                  ,Assistência Hospitalar e Ambulatorial,Autarquia Hospitalar Municipal,atualizado,4,-23.578,-46.765,Projetos,Projetos,1239,AHM       ,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0
Indireta,3,2017,31901100,11,2017,0,10,90,1,3024,122,10,2017.1.10.10.122.3024.31901100.90.11.0.2100,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Vencimentos e Vantagens Fixas - Pessoal Civil                                                                                                                                                                                                                 ,Tesouro Municipal,Saúde,PESSOAL E ENCARGOS SOCIAIS,Aplicações Diretas,Autarquia Hospitalar Municipal,Suporte Administrativo,Administração da Unidade                                                                                                                                                                                                                                      ,Administração Geral,Autarquia Hospitalar Municipal,liquidado,1,,,Atividades,Pessoal,2100,AHM       ,516800000.0,516800000.0,0.0,217540555.58,138778525.95,138528976.91,217540555.58
Indireta,4,2017,44905200,52,2017,0,10,90,1,3003,302,10,2017.1.10.10.302.3003.44905200.90.52.0.1517,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas de Capital,Equipamentos e Material Permanente                                                                                                                                                                                                                            ,Tesouro Municipal,Saúde,INVESTIMENTOS,Aplicações Diretas,Autarquia Hospitalar Municipal,Ações e serviços da saúde,Aquisição de Equipamentos para o Hospital Municipal Professor Doutor Alípio Correa Netto - CNPJ: 46.392.148/0026-78                                                                                                                                           ,Assistência Hospitalar e Ambulatorial,Autarquia Hospitalar Municipal,atualizado,4,-23.551,-46.633,Projetos,Projetos,1517,AHM       ,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0
Indireta,3,2017,33904800,48,2017,0,10,90,1,3003,302,10,2017.1.10.10.302.3003.33904800.90.48.0.4103,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Outros Auxílios Financeiros a Pessoas Físicas                                                                                                                                                                                                                 ,Tesouro Municipal,Saúde,OUTRAS DESPESAS CORRENTES,Aplicações Diretas,Autarquia Hospitalar Municipal,Ações e serviços da saúde,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento                                                                                                                                                                         ",Assistência Hospitalar e Ambulatorial,Autarquia Hospitalar Municipal,liquidado,3,,,Atividades,Atividades,4103,AHM       ,70000.0,70000.0,17500.0,13037.99,13037.99,13037.99,19778.0
Indireta,4,2017,44905200,52,2017,0,10,90,1,3003,302,10,2017.1.10.10.302.3003.44905200.90.52.0.1532,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas de Capital,Equipamentos e Material Permanente                                                                                                                                                                                                                            ,Tesouro Municipal,Saúde,INVESTIMENTOS,Aplicações Diretas,Autarquia Hospitalar Municipal,Ações e serviços da saúde,Climatização dos Leitos do Hospital e Maternidade Mário Degni                                                                                                                                                                                                 ,Assistência Hospitalar e Ambulatorial,Autarquia Hospitalar Municipal,atualizado,4,-23.578,-46.765,Projetos,Projetos,1532,AHM       ,300000.0,300000.0,300000.0,0.0,0.0,0.0,0.0
Indireta,4,2017,44903900,39,2017,0,10,90,1,3003,302,10,2017.1.10.10.302.3003.44903900.90.39.0.3372,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas de Capital,Outros Serviços de Terceiros - Pessoa Jurídica                                                                                                                                                                                                                ,Tesouro Municipal,Saúde,INVESTIMENTOS,Aplicações Diretas,Autarquia Hospitalar Municipal,Ações e serviços da saúde,"Reforma, Recuperação e Adequação de Hospitais                                                                                                                                                                                                                 ",Assistência Hospitalar e Ambulatorial,Autarquia Hospitalar Municipal,atualizado,4,,,Projetos,Projetos,3372,AHM       ,5000.0,5000.0,5000.0,0.0,0.0,0.0,0.0
Indireta,3,2017,31909400,94,2017,0,10,90,1,3024,122,10,2017.1.10.10.122.3024.31909400.90.94.0.2100,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Indenizações e Restituições Trabalhistas                                                                                                                                                                                                                      ,Tesouro Municipal,Saúde,PESSOAL E ENCARGOS SOCIAIS,Aplicações Diretas,Autarquia Hospitalar Municipal,Suporte Administrativo,Administração da Unidade                                                                                                                                                                                                                                      ,Administração Geral,Autarquia Hospitalar Municipal,liquidado,1,,,Atividades,Pessoal,2100,AHM       ,5998500.0,5998500.0,0.0,650000.0,274859.35,274859.35,650000.0
Indireta,4,2017,44903900,39,2017,0,10,90,1,3003,302,10,2017.1.10.10.302.3003.44903900.90.39.0.1238,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas de Capital,Outros Serviços de Terceiros - Pessoa Jurídica                                                                                                                                                                                                                ,Tesouro Municipal,Saúde,INVESTIMENTOS,Aplicações Diretas,Autarquia Hospitalar Municipal,Ações e serviços da saúde,Reforma da Farmácia do Hospital Alípio Correia Netto (Hospital de Ermelino Matarazzo)                                                                                                                                                                         ,Assistência Hospitalar e Ambulatorial,Autarquia Hospitalar Municipal,atualizado,4,-23.5,-46.473,Projetos,Projetos,1238,AHM       ,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0
Indireta,4,2017,44905200,52,2017,0,10,90,1,3003,302,10,2017.1.10.10.302.3003.44905200.90.52.0.4103,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas de Capital,Equipamentos e Material Permanente                                                                                                                                                                                                                            ,Tesouro Municipal,Saúde,INVESTIMENTOS,Aplicações Diretas,Autarquia Hospitalar Municipal,Ações e serviços da saúde,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento                                                                                                                                                                         ",Assistência Hospitalar e Ambulatorial,Autarquia Hospitalar Municipal,atualizado,4,,,Atividades,Atividades,4103,AHM       ,10000.0,10000.0,2500.0,0.0,0.0,0.0,0.0
Indireta,4,2017,44905100,51,2017,0,10,90,1,3003,302,10,2017.1.10.10.302.3003.44905100.90.51.0.1554,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas de Capital,Obras e Instalações                                                                                                                                                                                                                                           ,Tesouro Municipal,Saúde,INVESTIMENTOS,Aplicações Diretas,Autarquia Hospitalar Municipal,Ações e serviços da saúde,Reforma e Compra de Insumos para Hospital Ignácio de Proença na Mooca                                                                                                                                                                                         ,Assistência Hospitalar e Ambulatorial,Autarquia Hospitalar Municipal,atualizado,4,-23.572,-46.59,Projetos,Projetos,1554,AHM       ,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0
Indireta,4,2017,44903900,39,2017,0,10,90,1,3003,302,10,2017.1.10.10.302.3003.44903900.90.39.0.4103,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas de Capital,Outros Serviços de Terceiros - Pessoa Jurídica                                                                                                                                                                                                                ,Tesouro Municipal,Saúde,INVESTIMENTOS,Aplicações Diretas,Autarquia Hospitalar Municipal,Ações e serviços da saúde,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento                                                                                                                                                                         ",Assistência Hospitalar e Ambulatorial,Autarquia Hospitalar Municipal,atualizado,4,,,Atividades,Atividades,4103,AHM       ,10000.0,10000.0,2500.0,0.0,0.0,0.0,0.0
Indireta,3,2017,33904900,49,2017,0,10,90,1,3024,122,10,2017.1.10.10.122.3024.33904900.90.49.0.2100,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Auxílio-Transporte                                                                                                                                                                                                                                            ,Tesouro Municipal,Saúde,OUTRAS DESPESAS CORRENTES,Aplicações Diretas,Autarquia Hospitalar Municipal,Suporte Administrativo,Administração da Unidade                                                                                                                                                                                                                                      ,Administração Geral,Autarquia Hospitalar Municipal,liquidado,3,,,Atividades,Auxílios,2100,AHM       ,6699296.0,6699296.0,0.0,3147820.82,2004597.98,2004597.98,3147820.82
Indireta,3,2017,33903000,30,2017,0,10,90,1,3024,122,10,2017.1.10.10.122.3024.33903000.90.30.0.2100,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Material de Consumo                                                                                                                                                                                                                                           ,Tesouro Municipal,Saúde,OUTRAS DESPESAS CORRENTES,Aplicações Diretas,Autarquia Hospitalar Municipal,Suporte Administrativo,Administração da Unidade                                                                                                                                                                                                                                      ,Administração Geral,Autarquia Hospitalar Municipal,atualizado,3,,,Atividades,Atividades,2100,AHM       ,10000.0,10000.0,2500.0,0.0,0.0,0.0,0.0
Indireta,3,2017,33903000,30,2017,0,10,90,1,3003,302,10,2017.1.10.10.302.3003.33903000.90.30.0.1535,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Material de Consumo                                                                                                                                                                                                                                           ,Tesouro Municipal,Saúde,OUTRAS DESPESAS CORRENTES,Aplicações Diretas,Autarquia Hospitalar Municipal,Ações e serviços da saúde,Custeio e Aquisição de Material de Consumo para o Hospital Municipal Dr. Fernando Mauro Pires da Rocha - Campo Limpo                                                                                                                                          ,Assistência Hospitalar e Ambulatorial,Autarquia Hospitalar Municipal,atualizado,3,-23.649,-46.749,Projetos,Projetos,1535,AHM       ,180000.0,180000.0,180000.0,0.0,0.0,0.0,0.0
Indireta,3,2017,33903900,39,2017,0,10,90,1,3003,302,10,2017.1.10.10.302.3003.33903900.90.39.0.4103,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Outros Serviços de Terceiros -Pessoa Jurídica                                                                                                                                                                                                                 ,Tesouro Municipal,Saúde,OUTRAS DESPESAS CORRENTES,Aplicações Diretas,Autarquia Hospitalar Municipal,Ações e serviços da saúde,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento                                                                                                                                                                         ",Assistência Hospitalar e Ambulatorial,Autarquia Hospitalar Municipal,liquidado,3,,,Atividades,Atividades,4103,AHM       ,295480000.0,280469723.61,73870000.0,154543633.49,63631785.65,61987273.58,159223692.16
Indireta,4,2017,44903900,39,2017,2,10,90,1,3003,302,10,2017.1.10.10.302.3003.44903900.90.39.2.3372,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas de Capital,Outros Serviços de Terceiros - Pessoa Jurídica                                                                                                                                                                                                                ,Transferências Federais,Saúde,INVESTIMENTOS,Aplicações Diretas,Autarquia Hospitalar Municipal,Ações e serviços da saúde,"Reforma, Recuperação e Adequação de Hospitais                                                                                                                                                                                                                 ",Assistência Hospitalar e Ambulatorial,Autarquia Hospitalar Municipal,atualizado,4,,,Projetos,Projetos,3372,AHM       ,33099760.0,33099760.0,33099760.0,0.0,0.0,0.0,0.0
Indireta,3,2017,33903300,33,2017,2,10,90,1,3003,302,10,2017.1.10.10.302.3003.33903300.90.33.2.4103,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Passagens e Despesas com Locomoção                                                                                                                                                                                                                            ,Transferências Federais,Saúde,OUTRAS DESPESAS CORRENTES,Aplicações Diretas,Autarquia Hospitalar Municipal,Ações e serviços da saúde,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento                                                                                                                                                                         ",Assistência Hospitalar e Ambulatorial,Autarquia Hospitalar Municipal,atualizado,3,,,Atividades,Atividades,4103,AHM       ,25078.0,25078.0,802.0,0.0,0.0,0.0,0.0
Indireta,3,2017,33903900,39,2017,0,10,90,1,3024,122,10,2017.1.10.10.122.3024.33903900.90.39.0.2100,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Outros Serviços de Terceiros -Pessoa Jurídica                                                                                                                                                                                                                 ,Tesouro Municipal,Saúde,OUTRAS DESPESAS CORRENTES,Aplicações Diretas,Autarquia Hospitalar Municipal,Suporte Administrativo,Administração da Unidade                                                                                                                                                                                                                                      ,Administração Geral,Autarquia Hospitalar Municipal,liquidado,3,,,Atividades,Atividades,2100,AHM       ,43240000.0,43240000.0,10810000.0,26583573.3,12572767.37,12370723.64,26584030.68
Indireta,4,2017,44905200,52,2017,0,10,90,1,3003,302,10,2017.1.10.10.302.3003.44905200.90.52.0.3372,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas de Capital,Equipamentos e Material Permanente                                                                                                                                                                                                                            ,Tesouro Municipal,Saúde,INVESTIMENTOS,Aplicações Diretas,Autarquia Hospitalar Municipal,Ações e serviços da saúde,"Reforma, Recuperação e Adequação de Hospitais                                                                                                                                                                                                                 ",Assistência Hospitalar e Ambulatorial,Autarquia Hospitalar Municipal,atualizado,4,,,Projetos,Projetos,3372,AHM       ,5000.0,5000.0,5000.0,0.0,0.0,0.0,0.0
Indireta,3,2017,33903900,39,2017,0,10,90,1,3024,126,10,2017.1.10.10.126.3024.33903900.90.39.0.2171,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Outros Serviços de Terceiros -Pessoa Jurídica                                                                                                                                                                                                                 ,Tesouro Municipal,Saúde,OUTRAS DESPESAS CORRENTES,Aplicações Diretas,Autarquia Hospitalar Municipal,Suporte Administrativo,Manutenção de Sistemas de Informação e Comunicação                                                                                                                                                                                                            ,Tecnologia da Informação,Autarquia Hospitalar Municipal,liquidado,3,,,Atividades,Atividades,2171,AHM       ,4000000.0,4000000.0,1000000.0,3000000.0,1165561.13,1165561.13,3000000.0
Indireta,3,2017,33903900,39,2017,6,10,90,1,3003,302,10,2017.1.10.10.302.3003.33903900.90.39.6.4103,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Outros Serviços de Terceiros -Pessoa Jurídica                                                                                                                                                                                                                 ,Recursos Próprios da Administração Indireta,Saúde,OUTRAS DESPESAS CORRENTES,Aplicações Diretas,Autarquia Hospitalar Municipal,Ações e serviços da saúde,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento                                                                                                                                                                         ",Assistência Hospitalar e Ambulatorial,Autarquia Hospitalar Municipal,liquidado,3,,,Atividades,Atividades,4103,AHM       ,2413708.0,2413708.0,1564083.0,272400.0,272400.0,272400.0,376900.0
Indireta,4,2017,44905100,51,2017,0,10,90,1,3003,302,10,2017.1.10.10.302.3003.44905100.90.51.0.1543,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas de Capital,Obras e Instalações                                                                                                                                                                                                                                           ,Tesouro Municipal,Saúde,INVESTIMENTOS,Aplicações Diretas,Autarquia Hospitalar Municipal,Ações e serviços da saúde,Custeio e Reforma do Hospital do Carmino Carichio - Hospital do Tatuapé                                                                                                                                                                                       ,Assistência Hospitalar e Ambulatorial,Autarquia Hospitalar Municipal,atualizado,4,-23.533,-46.566,Projetos,Projetos,1543,AHM       ,500000.0,500000.0,500000.0,0.0,0.0,0.0,0.0
Indireta,3,2017,33903300,33,2017,0,10,90,1,3024,122,10,2017.1.10.10.122.3024.33903300.90.33.0.2100,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Passagens e Despesas com Locomoção                                                                                                                                                                                                                            ,Tesouro Municipal,Saúde,OUTRAS DESPESAS CORRENTES,Aplicações Diretas,Autarquia Hospitalar Municipal,Suporte Administrativo,Administração da Unidade                                                                                                                                                                                                                                      ,Administração Geral,Autarquia Hospitalar Municipal,atualizado,3,,,Atividades,Atividades,2100,AHM       ,25000.0,25000.0,6250.0,0.0,0.0,0.0,0.0
Indireta,3,2017,33901400,14,2017,2,10,90,1,3003,302,10,2017.1.10.10.302.3003.33901400.90.14.2.4103,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Diárias - Civil                                                                                                                                                                                                                                               ,Transferências Federais,Saúde,OUTRAS DESPESAS CORRENTES,Aplicações Diretas,Autarquia Hospitalar Municipal,Ações e serviços da saúde,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento                                                                                                                                                                         ",Assistência Hospitalar e Ambulatorial,Autarquia Hospitalar Municipal,atualizado,3,,,Atividades,Atividades,4103,AHM       ,40078.0,40078.0,1282.0,0.0,0.0,0.0,0.0
Indireta,3,2017,33903000,30,2017,6,10,90,1,3024,122,10,2017.1.10.10.122.3024.33903000.90.30.6.2100,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Material de Consumo                                                                                                                                                                                                                                           ,Recursos Próprios da Administração Indireta,Saúde,OUTRAS DESPESAS CORRENTES,Aplicações Diretas,Autarquia Hospitalar Municipal,Suporte Administrativo,Administração da Unidade                                                                                                                                                                                                                                      ,Administração Geral,Autarquia Hospitalar Municipal,atualizado,3,,,Atividades,Atividades,2100,AHM       ,100000.0,100000.0,64800.0,0.0,0.0,0.0,0.0
Indireta,3,2017,33903000,30,2017,2,10,90,1,3003,302,10,2017.1.10.10.302.3003.33903000.90.30.2.4103,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Material de Consumo                                                                                                                                                                                                                                           ,Transferências Federais,Saúde,OUTRAS DESPESAS CORRENTES,Aplicações Diretas,Autarquia Hospitalar Municipal,Ações e serviços da saúde,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento                                                                                                                                                                         ",Assistência Hospitalar e Ambulatorial,Autarquia Hospitalar Municipal,liquidado,3,,,Atividades,Atividades,4103,AHM       ,175005360.0,175005360.0,5600171.52,54603530.42,25134963.69,20757336.2,91773840.5
Indireta,3,2017,33904600,46,2017,0,10,90,1,3024,122,10,2017.1.10.10.122.3024.33904600.90.46.0.2100,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Auxílio-Alimentação                                                                                                                                                                                                                                           ,Tesouro Municipal,Saúde,OUTRAS DESPESAS CORRENTES,Aplicações Diretas,Autarquia Hospitalar Municipal,Suporte Administrativo,Administração da Unidade                                                                                                                                                                                                                                      ,Administração Geral,Autarquia Hospitalar Municipal,liquidado,3,,,Atividades,Auxílios,2100,AHM       ,68611652.0,68611652.0,0.0,32340000.0,20992640.21,20992640.21,32340000.0
Indireta,3,2017,33909200,92,2017,0,10,90,1,3003,302,10,2017.1.10.10.302.3003.33909200.90.92.0.4103,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Despesas de Exercícios Anteriores                                                                                                                                                                                                                             ,Tesouro Municipal,Saúde,OUTRAS DESPESAS CORRENTES,Aplicações Diretas,Autarquia Hospitalar Municipal,Ações e serviços da saúde,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento                                                                                                                                                                         ",Assistência Hospitalar e Ambulatorial,Autarquia Hospitalar Municipal,liquidado,3,,,Atividades,Atividades,4103,AHM       ,0.0,15010276.39,0.0,15010276.39,15010276.39,14790439.95,15010276.39
Indireta,3,2017,31901300,13,2017,0,10,90,1,3024,122,10,2017.1.10.10.122.3024.31901300.90.13.0.2100,2017-05-19 01:03:02.257,2017-05-31,2017-01-01,Despesas Correntes,Obrigações Patronais                                                                                                                                                                                                                                          ,Tesouro Municipal,Saúde,PESSOAL E ENCARGOS SOCIAIS,Aplicações Diretas,Autarquia Hospitalar Municipal,Suporte Administrativo,Administração da Unidade                                                                                                                                                                                                                                      ,Administração Geral,Autarquia Hospitalar Municipal,liquidado,1,,,Atividades,Pessoal,2100,AHM       ,13880790.0,13880790.0,0.0,4815007.0,3182300.75,2412829.7,4815007.0
